unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z
1765412131763,14681,0,1.25,0.5,4161.321,69.44924,0.2378555,2589.523,69.44924,0.2378554,2482.016,69.44924,0.2378555
1765412131777,14682,0,1.25,0.5,4162.06,68.93018,0.2377888,2589.916,68.93054,0.2377888,2482.378,68.92965,0.2377888
1765412131791,14683,0,1.25,0.5,4163.046,67.8173,0.2377003,2590.439,67.81783,0.2377003,2482.861,67.81772,0.2377003
1765412131805,14684,0,1.25,0.5,4162.508,68.14177,0.2377294,2590.158,68.14208,0.2377294,2482.593,68.14208,0.2377293
1765412131818,14685,0,1.25,0.5,4162.517,68.28171,0.2377127,2590.167,68.2816,0.2377127,2482.594,68.28171,0.2377127
1765412131833,14686,0,1.25,0.5,4163.88,67.93374,0.2376,2590.888,67.93405,0.2375999,2483.265,67.93405,0.2375999
1765412131845,14687,0,1.25,0.5,4164.837,67.9211,0.2375199,2591.396,67.9201,0.2375198,2483.737,67.92058,0.2375198
1765412131859,14688,0,1.25,0.5,4168.626,67.41357,0.2372486,2593.391,67.41357,0.2372486,2485.608,67.41347,0.2372485
1765412131873,14689,0,1.25,0.5,4170.485,67.38084,0.2371085,2594.372,67.38084,0.2371085,2486.525,67.38084,0.2371085
1765412131887,14690,0,1.25,0.5,4170.936,68.47032,0.2370797,2594.609,68.46996,0.2370797,2486.749,68.46996,0.2370797
1765412131901,14691,0,1.25,0.5,4171.221,69.6527,0.2370638,2594.758,69.65228,0.2370638,2486.891,69.65239,0.2370638
1765412131915,14692,0,1.25,0.5,4174.038,70.72194,0.2368805,2596.238,70.72231,0.2368805,2488.287,70.72256,0.2368806
1765412131929,14693,0,1.25,0.5,4175.734,72.12917,0.2367739,2597.128,72.12907,0.2367738,2489.129,72.12907,0.2367739
1765412131943,14694,0,1.25,0.5,4180.239,72.32167,0.2364717,2599.497,72.32115,0.2364717,2491.36,72.32115,0.2364717
1765412131956,14695,0,1.25,0.5,4184.732,72.271,0.2361704,2601.86,72.271,0.2361704,2493.585,72.271,0.2361704
